Date,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Unfollows,Replies,Reposts,Profile visits,Create Post,Video views,Media views
"Fri, Dec 26, 2025",168,0,10,0,0,4,0,0,0,3,0,0,0
"Thu, Dec 25, 2025",477,1,31,0,0,2,0,1,0,6,0,0,0
"Wed, Dec 24, 2025",1639,13,100,5,0,5,4,1,0,11,0,0,0
"Tue, Dec 23, 2025",8098,50,403,3,1,7,5,3,1,72,1,0,0
"Mon, Dec 22, 2025",9972,53,694,6,1,12,3,9,6,68,1,0,0
"Sun, Dec 21, 2025",7734,45,371,6,3,17,3,6,5,67,1,0,0
"Sat, Dec 20, 2025",1690,3,71,2,0,8,3,0,2,18,0,0,0
